z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,2.0,-7.35531743399e-21,300.0,1.1339786438106823,-2.28785013508e-17,-1.3592561006e-17,-2.22754885727e-16,0.194741966894,3.63573795049e-17,-1.49508954922e-18,-1.44809718082e-18,-9.33175528005e-17,5.65603066314e-16,8.41737405247e-32,7.91499475719e-18,1.43286340098e-31,-8.62868471115e-16,0.0730282375852,-5.06301767981e-19,1.10305437108e-20,-1.58542850217e-23,5.30203572586e-16,3.66108136805e-34,-2.05205228954e-28,2.38591944674e-16,-3.46057197005e-16,-5.73758088362e-18,1.47750256739e-41,1.96410358513e-16,9.21658451473e-28,1.09047330038e-16,2.16806206539e-38,-9.61272885808e-17,-1.51712872869e-19,7.6276091169e-16,-4.00316253194e-16,5.89445692638e-18,-4.9399525988e-18,-2.15215499087e-34,-5.81298531799e-19,-1.57304291612e-17,-5.11677415312e-18,9.35189102789e-17,1.1060139857e-16,7.86832016716e-17,2.01411174088e-17,-3.8146519799e-33,7.13293157472e-21,8.23181903997e-22,-1.32731516483e-17,3.50246126257e-19,0.732229795521,0.0,4.40887793734e-19,-4.30447602944e-17,1.113833944e-32,6.84273167063e-17
0.0025,1.97363217921,10.5471283177,300.0,1.1339786438106856,-2.28784992753e-17,-4.57645884653e-22,6.99930569662e-16,0.194741966894,-1.79403111583e-17,-3.30626479452e-16,-3.493151837e-16,-9.42278191273e-17,2.57334181445e-21,8.95394638e-36,7.44208439494e-22,3.11784432007e-29,-1.09977037659e-15,0.0730282375852,-1.22328034866e-16,3.49358764472e-18,-5.03967658679e-21,5.31644692658e-16,1.1820313961e-31,-6.62533792079e-26,2.38591944752e-16,-9.76632513973e-22,-5.73758088089e-18,4.47351575099e-39,1.9641036253e-16,3.08971459125e-25,6.67172996631e-17,4.29882167406e-36,-9.61272885823e-17,-1.51712872862e-19,5.09548154016e-16,-7.02549022156e-18,5.89445683371e-18,-4.93995259728e-18,-5.24561476592e-32,-1.41534584606e-16,-1.57304291601e-17,-5.11677415974e-18,9.34622105389e-17,8.62938045217e-22,7.86832017317e-17,2.01411167998e-17,3.89665254307e-36,7.13293157433e-21,8.2318190397e-22,-1.3273151649e-17,1.11059986317e-16,0.732229795521,0.0,4.40883136414e-19,-4.30447602888e-17,4.1582764034e-30,6.84273167054e-17
0.005,1.89452871682,21.0942566355,300.0,1.1339786438106847,-2.2878496951e-17,5.28482245469e-26,8.63998655068e-16,0.194741966894,-7.57820347598e-19,-3.45028849624e-16,-3.47451761804e-16,-9.51606439354e-17,1.12658783602e-26,2.39232022977e-41,6.72887103477e-26,6.2812726311e-33,-1.02270477806e-15,0.0730282375852,-1.2233215396e-16,3.49391527311e-18,-8.41943042874e-26,5.31644836002e-16,2.14171558235e-32,-6.51776851206e-26,2.38591944739e-16,-2.64926720713e-27,-5.73758087464e-18,4.14273110827e-39,1.96410367484e-16,3.57468714127e-25,2.58545102664e-17,5.43766122193e-40,-9.61272885854e-17,-1.51712872849e-19,3.35703061525e-16,-1.18727943195e-19,5.89445673884e-18,-4.93995259376e-18,5.94969725806e-36,2.54608696635e-17,-1.57304291527e-17,-5.11677415825e-18,9.3457964951e-17,6.4734994268e-27,7.86832018377e-17,2.01411163732e-17,4.63247209293e-41,7.13293157356e-21,8.23181903918e-22,-1.32731516502e-17,1.1106085031e-16,0.732229795521,0.0,4.40877988537e-19,-4.3044760265e-17,4.699924319e-30,6.84273167057e-17
0.00625,1.83520112004,26.3678207944,300.0,1.1339786438106845,-2.2878495598e-17,4.8566223142e-28,9.29324577927e-16,0.194741966894,4.14213865868e-19,-3.40908093349e-16,-3.46495130659e-16,-9.56380992155e-17,9.60033402553e-32,-1.42540017276e-47,9.5429739328e-30,1.01069020066e-33,-9.72897145042e-16,0.0730282375852,-1.22332153062e-16,3.49391530413e-18,-2.32655367244e-30,5.31644840167e-16,2.11218431674e-32,-6.20298359287e-26,2.38591944721e-16,-1.39591263734e-32,-5.73758086883e-18,3.95881149235e-39,1.96410370232e-16,3.70665218643e-25,5.71612562198e-18,1.31937930142e-43,-9.61272885885e-17,-1.51712872836e-19,2.64943281541e-16,-3.84547703827e-21,5.89445669729e-18,-4.93995259051e-18,5.56922765278e-38,9.61560586444e-17,-1.57304291507e-17,-5.11677415588e-18,9.34562432726e-17,9.43813598668e-32,7.86832019068e-17,2.01411162044e-17,8.25105489036e-46,7.1329315727e-21,8.2318190386e-22,-1.32731516515e-17,1.11060850248e-16,0.732229795521,0.0,4.4087529035e-19,-4.30447602382e-17,4.91009366812e-30,6.8427316708e-17
0.0075,1.76268961285,31.6413849532,300.0,1.1339786438106843,-2.28784942312e-17,1.95996803772e-25,9.80994756269e-16,0.194741966894,5.61267225542e-19,-3.35111129242e-16,-3.45506992506e-16,-9.61308112188e-17,7.86206240972e-37,1.86419284154e-45,-1.78819934505e-30,7.27901377292e-34,-9.21487657033e-16,0.0730282375852,-1.22332152142e-16,3.49391530865e-18,3.46213084592e-32,5.31644844459e-16,2.15492325496e-32,-5.79147620197e-26,2.38591944703e-16,-7.06664904073e-38,-5.73758086277e-18,3.74427249325e-39,1.96410373163e-16,3.80598952163e-25,-1.41183673988e-17,1.69771755917e-46,-9.61272885917e-17,-1.51712872822e-19,2.07305950164e-16,-1.19853365662e-22,5.89445665283e-18,-4.93995258713e-18,1.69239737198e-35,1.53833451091e-16,-1.57304291485e-17,-5.11677415181e-18,9.34544664218e-17,1.32234981542e-36,7.86832019842e-17,2.01411160608e-17,-4.92365412217e-45,7.13293157181e-21,8.231819038e-22,-1.32731516528e-17,1.11060850174e-16,0.732229795521,0.0,4.40872427073e-19,-4.30447602102e-17,5.07378954521e-30,6.84273167102e-17
0.00875,1.67699419527,36.9149491121,300.0,1.1339786438106847,-2.28784921429e-17,-1.04179242922e-26,1.02134435435e-15,0.194741966894,5.96461273004e-19,-3.28636828074e-16,-3.4447900759e-16,-9.66438901147e-17,6.12982723124e-42,2.41732040723e-47,-1.38455141677e-30,6.35809363052e-34,-8.69890016274e-16,0.0730282375852,-1.22332151266e-16,3.49391531606e-18,3.55377007572e-32,5.3164484891e-16,2.18298296234e-32,-5.30194255234e-26,2.38591944683e-16,-3.40481403232e-43,-5.73758085635e-18,3.49760731656e-39,1.96410376308e-16,3.88648707994e-25,-3.34959306224e-17,1.14006532114e-46,-9.61272885952e-17,-1.51712872807e-19,1.60429642632e-16,-3.56186752075e-24,5.89445660552e-18,-4.93995258352e-18,3.24214964893e-36,2.00747776541e-16,-1.5730429146e-17,-5.11677414619e-18,9.34525990706e-17,2.13331399532e-40,7.86832020701e-17,2.01411159345e-17,9.98251789625e-48,7.13293157087e-21,8.23181903737e-22,-1.32731516543e-17,1.11060850093e-16,0.732229795521,0.0,4.40869375212e-19,-4.30447601805e-17,5.19879883746e-30,6.84273167126e-17
0.01,1.57811486729,42.188513271,300.0,1.1339786438106836,-2.28784697028e-17,1.11629161509e-25,1.05223267264e-15,0.194741966894,6.16161002712e-19,-3.21531710869e-16,-3.43397017331e-16,-9.71835945954e-17,4.52460885779e-47,-7.83557211689e-44,-1.06571895503e-30,-4.3224226146e-38,-8.55660126129e-16,0.0730282375852,-1.22332151239e-16,3.49391532791e-18,3.61683137779e-32,5.31644852845e-16,2.2014381184e-32,-4.9211094702e-26,2.38591944635e-16,-1.54890922262e-48,-5.73758084125e-18,7.08453784185e-44,1.96410380158e-16,4.13214596634e-25,-3.34959315218e-17,-4.64546769758e-45,-9.61272886026e-17,-1.51712872775e-19,1.22404624285e-16,-1.00224719448e-25,5.89445657729e-18,-4.939952575e-18,1.08190171315e-35,2.38798993484e-16,-1.57304291422e-17,-5.11677413956e-18,9.34506150598e-17,2.0389377504e-40,7.86832021887e-17,2.0141115849e-17,-5.33793196703e-44,7.13293156901e-21,8.2318190361e-22,-1.32731516572e-17,1.11060850002e-16,0.732229795521,0.0,4.40866183871e-19,-4.30447601058e-17,5.29125744365e-30,6.84273167203e-17
0.010625,1.5237312369,44.8252953505,300.0,1.1339786438106834,-2.28782567042e-17,9.65679988889e-29,1.06543134795e-15,0.194741966894,6.24262808879e-19,-3.17802308905e-16,-3.42839777381e-16,-9.74616982615e-17,6.51819258126e-52,-1.56957430509e-45,-9.18476231716e-31,-3.84180558261e-38,-8.48193264797e-16,0.0730282375852,-1.22332151249e-16,3.49391533682e-18,3.64312097413e-32,5.31644855273e-16,2.20855376748e-32,-4.71789139956e-26,2.3859194459e-16,-1.36918862261e-53,-5.73758082725e-18,7.27803588261e-44,1.96410382409e-16,4.17049822651e-25,-3.34959327313e-17,4.65520286872e-47,-9.61272886102e-17,-1.51712872743e-19,1.05459928236e-16,-5.23429598258e-27,5.89445658386e-18,-4.93995256717e-18,1.13716310032e-38,2.55761490944e-16,-1.57304291388e-17,-5.11677413652e-18,9.34495873659e-17,2.07430804619e-40,7.86832022679e-17,2.01411158318e-17,-5.67355830013e-46,7.13293156695e-21,8.23181903472e-22,-1.32731516604e-17,1.1106084995e-16,0.732229795521,0.0,4.4086458852e-19,-4.30447600325e-17,5.32971747283e-30,6.84273167297e-17
0.01125,1.46605162891,47.4620774299,300.0,1.1339786438106831,-2.2875460727e-17,1.72290340227e-29,1.07658596052e-15,0.194741966894,6.31073315506e-19,-3.13883498866e-16,-3.42263706342e-16,-9.774919743e-17,-3.17681746677e-55,1.53621957565e-47,-7.87359667457e-31,-3.2934214677e-38,-8.40348885553e-16,0.0730282375852,-1.22332151259e-16,3.49391534658e-18,3.6645463993e-32,5.3164485781e-16,2.21371085971e-32,-4.49033672106e-26,2.38591944542e-16,-1.16740565241e-58,-5.73758081269e-18,7.29012242213e-44,1.96410384756e-16,4.18881719318e-25,-3.34959350673e-17,4.68470649668e-47,-9.6127288618e-17,-1.51712872709e-19,9.03712787355e-17,-1.30337620582e-28,5.89445659059e-18,-4.93995255903e-18,1.97553562578e-39,2.70867023449e-16,-1.57304291352e-17,-5.11677413312e-18,9.34485191163e-17,2.10460940863e-40,7.86832023508e-17,2.01411158172e-17,4.91680535106e-48,7.13293156482e-21,8.23181903327e-22,-1.32731516637e-17,1.11060849897e-16,0.732229795521,0.0,4.40862925296e-19,-4.30447599564e-17,5.36106149109e-30,6.84273167395e-17
0.011875,1.40507604333,50.0988595094,300.0,1.133978643810683,-2.28398856219e-17,-1.37505281398e-26,1.08585079245e-15,0.194741966894,6.3673707679e-19,-3.09757396072e-16,-3.41666022843e-16,-9.80474990863e-17,-2.73237770748e-55,1.17630048074e-47,-6.70870100651e-31,-2.80620750754e-38,-8.32091075382e-16,0.0730282375852,-1.22332151269e-16,3.49391535722e-18,3.68144189592e-32,5.3164486047e-16,2.21702613764e-32,-4.23409376442e-26,2.38591944493e-16,-2.2514226565e-61,-5.7375807975e-18,7.29473701793e-44,1.96410387211e-16,4.20061256902e-25,-3.34959389367e-17,2.6748745312e-47,-9.61272886261e-17,-1.51712872674e-19,7.69662415377e-17,1.34672632796e-28,5.89445659762e-18,-4.93995255052e-18,4.02659826267e-36,2.84288149674e-16,-1.57304291313e-17,-5.11677412933e-18,9.3447404354e-17,2.13023942383e-40,7.8683202438e-17,2.01411158053e-17,5.43061006449e-48,7.13293156259e-21,8.23181903177e-22,-1.32731516671e-17,1.1106084984e-16,0.732229795521,0.0,4.40861186037e-19,-4.30447598768e-17,5.38577847825e-30,6.84273167496e-17
